Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
UC3_LoginLogout.c(36): Registered web_reg_find successful for "Text=User password was correct" (count=1)  	[MsgId: MMSG-26364]
UC3_LoginLogout.c(36): web_submit_data("login.pl") was successful, 5778 body bytes, 2057 header bytes, 36 chunking overhead bytes  	[MsgId: MMSG-26385]
UC3_LoginLogout.c(53): Notify: Transaction "Login" ended with a "Pass" status (Duration: 0,1582 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
UC3_LoginLogout.c(55): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
UC3_LoginLogout.c(57): Notify: Transaction "Logout" started.	[MsgId: MMSG-16999]
UC3_LoginLogout.c(59): web_reg_find started  	[MsgId: MMSG-26355]
UC3_LoginLogout.c(59): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
UC3_LoginLogout.c(61): web_url("SignOff Button") started  	[MsgId: MMSG-26355]
UC3_LoginLogout.c(61): Error -27787: Server "127.0.0.1" has shut down the connection prematurely  	[MsgId: MERR-27787]
UC3_LoginLogout.c(61): Error -26366: "Text=Web Tours" not found for web_reg_find  	[MsgId: MERR-26366]
UC3_LoginLogout.c(61): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


